Józef,Adamski,jozefadamski@gmail.com,Artur,Adamski,2007-03-03
Marian,Boszko,mariano@gmail.com,Bożena,Boszko,2007-04-09
Karina,Potoczna,potocznak@gmail.com,Cecylia,Potoczna,2007-02-27
Emilia,Wolna,ewolna@gmail.com,Dawid,Wolny,2007-04-05
Patrycja,Relak,relakp@gmail.com,Natalia,Relak,2007-12-04
Justyna,Rybakowska,rybakkowskaj@wp.pl,Marcin,Rybakowski,2007-10-10
Daria,Walentynowicz,walentynowiczd@gmail.com,Noemi,Walentynowicz,2007-09-04
Andrzej,Potoczny,potocznyandrzej@gmail.com,Paweł,Potoczny,2007-06-09
Ryszard,Gryz,gryzr@gmail.com,Andżelika,Gryz,2007-05-01
Wiesława,Pazder,pazderw@gmail.com,Aleksander,Pazder,2007-08-12
Mateusz,Bawaria,bawariamateusz33@gmail.com,Arkadiusz,Bawaria,2007-09-27
Eryka,Leśna,lesnataeryka@wp.pl,Jacek,Leśny,2007-10-08
Fryderyk,Granit,granitowyfryderyk@gmail.com,Aleksandra,Granit,2007-12-09
Dagmara,Gwader,gwaderd@gmail.com,Honorata,Gwader,2007-08-07
Hieronim,Kowalski,hkowalski@gmail.com,Henryk,Kowalski,2007-10-15
Janusz,Jyszek,jjyszek@gmail.com,Paulina,Jyszek,2007-08-18
Adam,Bogacki,abogacki@gmail.com,Julia,Bogacka,2007-12-21
Irena,Wesoła,iwesola@gmail.com,Szymon,Wesoły,2007-01-22
Agnieszka,Wiśniewska,agnieszkawisniewska@gmail.com,Jolanta,Wiśniewska,2007-02-27
Leopold,Zerek,leopoldzerek@gmail.com,Dawid,Zerek,2007-04-08
Juliusz,Turner,jturner@gmail.com,Adrian,Turner,2007-09-27
Magdalena,Radosz,magdaradosz@wp.pl,Adrianna,Radosz,2007-08-02
Tomasz,Bławatek,tomaszblawatek@gmail.com,Paula,Bławatek,2007-11-07
