Danuta,Deser,ddeser@gmail.com,Rajmund,Deser,2008-02-06
Renata,Nowaczyk,renatanowaczyk@gmail.com,Remigiusz,Nowaczyk,2008-06-18
Roman,Walny,romanwalny999@gmail.com,Hanna,Walna,2008-05-24
Ewa,Kraśna,ekrasna@wp.pl,Eryk,Kraśny,2008-09-05
Jan,Górski,jangorski@gmail.com,Magdalena,Górska,2008-02-04
Olaf,Andrzejewicz,olafandrzejewicz@gmail.com,Justyna,Andrzejewicz,2008-08-06
Genowefa,Mewa,genowefamewa@wp.pl,Otylia,Mewa,2008-06-07
Oliwer,Bernard,obernard@gmail.com,Roma,Bernard,2008-12-12
Barbara,Stypińska,bstypinska1981@gmail.com,Gracjan,Stypiński,2008-01-16
Olga,Maciejewska,olga41@gmail.com,Jędrzej,Maciejewski,2008-09-14
Julian,Zawadzki,jzawadzki@gmail.com,Iwona,Zawadzka,2008-10-08
Olaf,Kamiński,kamienolaf@gmail.com,Jeremiasz,Kamiński,2008-11-05
Nina,Wójcik,ninawojcik123@gmail.com,Brajan,Wójcik,2008-10-04
Iwona,Kozłowska,iwonakozlowska3@gmail.com,Borys,Kozłowski,2008-05-07
Tymon,Bruno,tbruno@gmail.com,Urban,Bruno,2008-04-17
Bronisława,Piotrkowska,broniapiotrkowska@gmail.com,Artur,Piotrkowski,2008-01-21
Klarysa,Grabowska,grabowskaklarysa@gmail.com,Edyta,Grabowska,2008-08-12
Kornelia,Ferdyk,ferdykk@gmail.com,Rachela,Ferdyk,2008-10-23
Konrad,Malinowski,kmalinowski1984@gmail.com,Bernadeta,Malinowska,2008-05-11
Konstancja,Sobczak,konstasobczak@wp.pl,Marek,Sobczak,2008-06-03
Napoleon,Czarnecki,napoleonblack@gmail.com,Róża,Czarnecka,2008-12-05
Emil,Sikorski,sikorskiemil32@gmail.com,Rozalia,Sikorska,2008-03-29
Eugenia,Wasilewska,eugeniaw@gmail.com,Rudolf,Wasilewski,2008-09-06
Estera,Walna,esterawalnaa@gmail.com,Ryszard,Walny,2008-09-15
Mikołaj,Głowacki,mikoglowacki@gmail.com,Hieronim,Głowacki,2008-09-03
Tadeusz,Urbański,turbanski1971@gmail.com,Kornel,Urbański,2008-04-09
Iwona,Kowalewska,ikowalewska@gmail.com,Berenika,Kowalewska,2008-10-17
